condition,run,n_waypoints,completed,diverged,t_end_s,n_segments_done,min_dwell_s,sup_dv,rms_dv,sup_dw,rms_dw,cross_track_rmse_m,peak_V
tol5cm_pnn,4,18,True,False,43.10399999999024,18,1.2199999999999764,0.6596295865538118,0.1475957887318258,4.191748480712766,0.924636887433662,0.029566410135539737,6.4930148392664355
tol5cm_pnn,5,18,True,False,42.214999999992315,18,1.5129999999991615,0.685690690933017,0.1459867577951267,4.742256692641709,0.8759742433037817,0.025270941167826706,6.829451938650678
tol5cm_pnn,6,19,True,False,44.94299999998596,19,1.2540000000015326,0.6740907154866185,0.15885705268034467,3.2114859706672876,0.7277368123694553,0.03570183013392474,7.4034965731453015
tol5cm_pnn,7,18,True,False,44.08399999998796,18,1.4369999999992036,0.6000510913987994,0.13703071634236977,4.589518476878377,0.9580491099805474,0.03148255149151895,7.5939157336174175
tol5cm_pnn,8,7,True,False,18.37299999999947,7,2.211000000000344,0.5458379697106864,0.1364763669995301,4.328142132036228,1.022408780859656,0.03742625798088923,6.459949105218945
tol5cm_pnn,9,8,True,False,17.16099999999799,8,1.6029999999991116,0.40420120937421783,0.09655439031387493,4.647238562554111,1.1983564411468577,0.027164787905082404,6.512737419352685
tol5cm_pnn,10,17,True,False,41.98199999999286,17,1.5199999999964575,0.7840020430680499,0.15510032839707721,4.281295212077518,0.84322206519899,0.03098388468052925,6.275409384613032
tol5cm_pnn,11,20,True,False,46.77699999998168,20,1.495000000001827,0.6814118086901626,0.1327797110933132,4.392809565176163,0.9664019622291651,0.02562332551703894,6.369672855716572
tol5cm_pnn,12,20,True,False,47.90699999997905,20,1.5449999999998298,0.5166242546084787,0.14275771363025969,4.617281963794652,1.0848892053204706,0.036339086820037385,7.37944016856779
tol5cm_pnn,13,16,True,False,38.29700000000145,16,1.7899999999999419,0.5263011883502611,0.12221670502536418,4.123844434236405,1.0738852403564065,0.030190271624090576,6.056656467831364
tol5cm_pnn,14,13,True,False,30.76900000001462,13,1.386999999999958,0.7354763231724986,0.12976645760144,4.338724301898199,0.9438694731864686,0.025934592080028036,6.109385025016355
