method,seed,rollouts_per_target,median_E_ratio,p25_E_ratio,p75_E_ratio,frac_within_2pct
bptt,4,5,1.360704929260722,1.2264104029158807,1.661817326422072,0.0
bptt,4,10,1.2595135566745608,1.1782587516967573,1.3342235381103407,0.0
bptt,4,25,1.1309996404548932,1.0769548828086735,1.2058350973315035,0.01
bptt,4,50,1.1523070039211158,1.0856428430975167,1.2002693493430066,0.01
bptt,4,75,1.1243427710721092,1.077083709425512,1.1913366438485746,0.045
bptt,4,100,1.1188956737374727,1.0733481713547957,1.181658368235945,0.045
bptt,4,125,1.1212393713347844,1.0729434209415476,1.1827206726656572,0.05
bptt,4,150,1.1245983194580083,1.0721405974367402,1.1912236279542312,0.05
bptt,5,1,1.52766277598246,1.3279365410930402,1.8952130919830779,0.0
bptt,5,2,1.4680906295325755,1.3008935186906432,1.7973264745407036,0.0
bptt,5,5,1.2629735750967828,1.2070601720674943,1.4246006160700493,0.0
bptt,5,10,1.217309554006015,1.1490031248784969,1.2700389120754976,0.0
bptt,5,25,1.1363890088108208,1.0812832916244495,1.1995987953656668,0.02
bptt,5,50,1.141322182806834,1.077373292851115,1.1925144794214775,0.01
bptt,5,75,1.1209867680248409,1.0779057202616955,1.1913185463289935,0.06
bptt,5,100,1.1141645948213044,1.0684850916007902,1.176730020723848,0.05
bptt,5,125,1.1258873791757509,1.0723298990718422,1.1931301605394435,0.05
bptt,5,150,1.1252608512262428,1.0723869263341281,1.1877031182606366,0.05
bptt,7,1,1.5692564919365235,1.3437344224175995,1.984907290693276,0.0
bptt,7,2,1.5176878311232422,1.325850153862124,1.8913932755445335,0.0
bptt,7,5,1.308976676921629,1.2454974575116415,1.52275817919744,0.0
bptt,7,10,1.180043458561397,1.1150263829774094,1.2375366995316694,0.03
bptt,7,25,1.1301361312097433,1.0761567391738904,1.2050562965216862,0.01
bptt,7,50,1.1700837764264347,1.089311395808368,1.2056550208821335,0.01
bptt,7,75,1.1505006891656726,1.088472487402126,1.1923373442128269,0.02
bptt,7,100,1.1256496707594144,1.0789856709293828,1.1932903140134865,0.05
bptt,7,125,1.1271623344950181,1.0764587674271584,1.1933198819423385,0.06
bptt,7,150,1.1206664799178612,1.0742678233195915,1.1788538869959093,0.05
bptt,9,1,1.461870874883763,1.3034757170275935,1.8028076150024535,0.0
bptt,9,2,1.4171028734611166,1.277663168660589,1.7213343191080674,0.0
bptt,9,5,1.2538927282874273,1.1904356273345051,1.4090705513266713,0.0
bptt,9,10,1.184568482897023,1.1093719801659776,1.2377272127587362,0.025
bptt,9,25,1.1215337434484893,1.0630939251086704,1.2055707750719884,0.01
