vel_bias,controller,run,x_ref,y_ref,Kp,Kth,arrived,diverged,t_end_s,final_d_m,final_x,final_y,hold_final_d_m,hold_diverged,e_total_Cl1m,e_line,e_th,e_time,e_l_mean_m,cross_track_rmse_m,energy_J,peak_V
0,ours_bptt,119,0.3467,0.6367,0.820041,2.985888,1,0,3.722,0.009999,0.34146,0.62822,0.000000,0,296.47,17.07,17.54,117.90,0.017065,0.023798,0.7204,5.336
0,ours_bptt,120,0.1427,0.1849,0.759547,2.950293,1,0,3.336,0.009996,0.13659,0.17695,0.000000,0,531.56,5.21,15.20,246.67,0.005210,0.007073,0.1361,2.754
0,ours_bptt,121,0.9039,0.2691,0.795985,2.987295,1,0,3.654,0.009997,0.89426,0.26630,0.000000,0,101.10,7.35,9.72,35.31,0.007354,0.011143,1.1120,5.716
0,ours_bptt,122,0.6186,-0.7694,0.824620,2.991804,1,0,3.734,0.009980,0.61201,-0.76188,0.000000,0,127.21,20.72,20.20,27.86,0.020718,0.029712,1.2534,6.654
0,ours_bptt,123,0.1330,0.4410,0.809351,2.973644,1,0,3.663,0.009987,0.12953,0.43159,0.000000,0,451.86,12.06,14.62,202.27,0.012055,0.016382,0.3793,4.123
0,ours_bptt,124,0.3040,-0.5997,0.818492,2.986800,1,0,3.712,0.009984,0.29901,-0.59102,0.000000,0,328.65,16.09,17.20,135.06,0.016092,0.022326,0.6358,5.078
0,ours_bptt,125,0.8777,-0.3398,0.796602,2.987492,1,0,3.674,0.009981,0.86836,-0.33624,0.000000,0,112.88,9.22,11.55,37.97,0.009221,0.013949,1.1053,5.816
0,ours_bptt,126,0.4647,-0.7285,0.826602,2.990761,1,0,3.722,0.009986,0.45893,-0.72038,0.000000,0,209.40,19.66,20.31,69.65,0.019657,0.027686,0.9860,6.056
0,ours_bptt,127,-0.1434,-0.2996,0.870582,2.976225,1,0,3.507,0.009982,-0.14019,-0.29013,0.000000,0,503.61,18.68,7.54,230.25,0.018681,0.025484,0.4354,3.917
0,ours_bptt,128,0.7348,0.4244,0.794306,2.984950,1,0,3.702,0.009984,0.72612,0.41958,0.000000,0,189.90,11.35,13.39,73.06,0.011347,0.017035,0.8930,5.481
0,ours_bptt,129,-0.1202,-0.4211,0.872777,2.983018,1,0,3.564,0.009996,-0.11846,-0.41128,0.000000,0,458.70,18.31,15.24,200.37,0.018314,0.027450,0.5029,4.273
0,ours_bptt,130,0.0262,0.7331,0.870396,2.987900,1,0,3.661,0.009984,0.02492,0.72322,0.000000,0,299.95,22.32,24.33,108.91,0.022322,0.032442,0.8704,5.633
0,ours_bptt,131,0.1806,-0.8313,0.863349,2.994066,1,0,3.672,0.009991,0.17776,-0.82169,0.000000,0,230.35,23.94,27.86,69.36,0.023943,0.033092,1.0585,6.217
0,ours_bptt,132,0.0616,0.4904,0.832388,2.976838,1,0,3.652,0.009983,0.05959,0.48058,0.000000,0,432.70,14.19,15.82,189.89,0.014190,0.019771,0.4581,4.380
0,ours_bptt,133,0.3828,0.6743,0.823639,2.987505,1,0,3.721,0.009984,0.37743,0.66589,0.000000,0,265.63,18.14,18.83,100.38,0.018139,0.025356,0.8123,5.601
0,ours_bptt,134,0.6240,-0.1220,0.776895,2.977626,1,0,3.577,0.009999,0.61420,-0.12008,0.000000,0,285.74,3.35,6.02,134.34,0.003345,0.005055,0.4894,3.796
0,ours_bptt,135,0.7082,-0.4265,0.793435,2.985214,1,0,3.703,0.009996,0.69955,-0.42152,0.000000,0,205.48,11.38,13.44,80.77,0.011379,0.017059,0.8472,5.379
0,ours_bptt,136,0.3059,-0.0613,0.757399,2.958409,1,0,3.277,0.009995,0.29610,-0.05931,0.000000,0,442.48,1.80,4.79,215.10,0.001800,0.002618,0.1157,2.016
