delay_ms,scope,trigger_mode,controller,n,arrival_pct,n_diverged,failed_3x_pct,median_t_end_s,median_e_total_Cl1m,median_cross_track_rmse_m,median_peak_V,median_sup_dv,median_sup_dw,wall_s
50,wheels,measured,pnn_bf,300,100.00,0,23.33,3.3170,360.765,0.015704,4.5929,0.30549,2.61570,4.9
50,wheels,measured,lyap1,300,100.00,0,27.00,3.9875,445.804,0.016849,3.9124,0.25031,2.13838,9.5
50,wheels,measured,lyap2,300,100.00,0,70.33,7.0695,939.308,0.008172,3.3912,0.17477,2.85488,13.3
50,wheels,measured,pid_table3,300,100.00,0,67.33,5.8530,1028.805,0.054824,3.1840,0.26858,1.06640,17.8
50,all,oracle,ours_bptt,300,100.00,0,28.00,3.7650,475.737,0.019551,4.5973,0.30466,3.49216,5.0
50,all,oracle,ours_dr,300,100.00,0,39.00,4.7475,600.162,0.015112,4.2434,0.24552,3.43926,6.8
50,all,oracle,pnn_bf,300,100.00,0,21.33,3.2395,400.862,0.019379,4.6547,0.31339,2.61570,5.3
50,all,oracle,lyap1,300,100.00,0,24.33,3.7160,439.148,0.019938,3.9577,0.25279,2.13838,4.9
50,all,oracle,lyap2,300,100.00,0,68.67,6.8980,919.016,0.009415,3.5144,0.17665,2.85488,12.7
50,all,oracle,pid_table3,300,100.00,0,68.33,5.8190,1106.359,0.054029,3.2321,0.26867,1.06730,11.1
50,all,measured,ours_bptt,300,100.00,0,28.67,3.8150,487.239,0.019426,4.5973,0.30466,3.49216,5.1
50,all,measured,ours_dr,300,100.00,0,40.00,4.7975,610.986,0.015034,4.2434,0.24552,3.43926,8.3
50,all,measured,pnn_bf,300,100.00,0,21.33,3.2895,420.950,0.019233,4.6547,0.31339,2.61570,6.1
50,all,measured,lyap1,300,100.00,0,25.00,3.7660,446.891,0.019819,3.9577,0.25279,2.13838,10.4
50,all,measured,lyap2,300,100.00,0,68.67,6.9480,926.910,0.009381,3.5144,0.17665,2.85488,16.9
