timesteps,ep_return,ep_len
433232,-5663.92475,1501
434733,-5404.96655,1501
436234,-5066.829309,1501
437735,-9626.694137,1501
439236,-6661.42144,1501
440737,-5460.174016,1501
442238,-4991.760276,1501
443739,-7725.215368,1501
445240,-7771.846942,1501
446741,-5722.469882,1501
448242,-4945.175227,1501
449743,-4878.653301,1501
451244,-4982.906171,1501
452745,-8975.015244,1501
454246,-6381.061701,1501
455747,-7438.288856,1501
457248,-5039.566802,1501
458749,-4977.400625,1501
460250,-12238.987133,1501
461751,-4796.823316,1501
463252,-5082.530795,1501
464753,-4778.86996,1501
466254,-12703.981838,1501
467755,-12598.338293,1501
469256,-8831.61374,1501
470757,-4930.785475,1501
472258,-5230.160859,1501
473759,-4865.489393,1501
475260,-6124.323694,1501
476761,-4656.992579,1501
478262,-5196.736858,1501
479763,-12258.357023,1501
481264,-11730.260315,1501
482765,-15026.823973,1501
484266,-4746.185299,1501
485767,-6460.628696,1501
487268,-22243.185907,1501
488769,-5186.942392,1501
490270,-9090.436527,1501
491771,-4656.567473,1501
493272,-17208.819837,1501
494773,-6347.334316,1501
496274,-6160.12392,1501
497775,-6050.298089,1501
499276,-5229.484167,1501
